schedule_date,schedule_season,home_id,away_id,score_home,home_avg_yards,home_avg_TO,score_away,away_avg_yards,away_avg_TO,total_score,over_under_line,label
11/20/1988,1988,RAM,SDG,24,354.0,2.0,38,283.1764705882353,2.4705882352941178,62,38.0,over
11/20/1988,1988,MIA,NWE,3,348.8235294117647,2.235294117647059,6,291.0,2.4705882352941178,9,41.0,under
11/20/1988,1988,MIN,CLT,12,361.0,1.8823529411764703,3,307.70588235294116,2.0588235294117645,15,45.0,under
11/20/1988,1988,NOR,DEN,42,328.4705882352941,1.8823529411764703,0,335.11764705882354,2.235294117647059,42,41.0,over
11/20/1988,1988,NYG,PHI,17,328.5294117647058,1.5882352941176472,23,350.94117647058823,1.4117647058823528,40,41.0,under
11/20/1988,1988,TAM,CHI,15,323.88235294117646,3.2352941176470584,27,334.5294117647058,2.647058823529412,42,38.0,over
11/21/1988,1988,SFO,WAS,37,374.9411764705882,1.8235294117647056,21,370.1176470588235,2.4705882352941178,58,43.0,over
11/24/1988,1988,DAL,OTI,17,342.4705882352941,2.2941176470588243,25,329.8235294117647,2.176470588235294,42,47.0,under
11/24/1988,1988,DET,MIN,0,231.64705882352942,2.176470588235294,23,361.7647058823529,1.8823529411764703,23,38.0,under
11/27/1988,1988,ATL,TAM,17,302.1764705882353,2.8235294117647056,10,330.4705882352941,3.294117647058824,27,40.0,under
11/27/1988,1988,CHI,GNB,16,331.5294117647058,2.588235294117647,0,281.5294117647058,2.764705882352941,16,34.0,under
11/27/1988,1988,CIN,BUF,35,392.7647058823529,1.8235294117647056,21,325.76470588235287,2.411764705882353,56,41.0,over
11/27/1988,1988,DEN,RAM,35,335.0588235294117,2.176470588235294,24,357.4705882352941,2.117647058823529,59,39.0,over
11/27/1988,1988,CLT,NWE,24,304.4117647058824,2.117647058823529,21,281.5882352941176,2.411764705882353,45,37.0,over
11/27/1988,1988,NOR,NYG,12,322.0,2.117647058823529,13,322.64705882352933,1.8235294117647056,25,38.0,under
11/27/1988,1988,NYJ,MIA,38,315.70588235294116,1.7647058823529411,34,361.2352941176471,2.117647058823529,72,38.0,over
11/27/1988,1988,PHI,CRD,31,340.4117647058824,1.5882352941176472,21,376.6470588235293,1.8823529411764703,52,45.0,over
11/27/1988,1988,PIT,KAN,16,306.0588235294117,2.411764705882353,10,313.9411764705883,1.9411764705882355,26,40.0,under
11/27/1988,1988,SDG,SFO,10,279.29411764705884,2.5294117647058822,48,377.05882352941177,1.5882352941176472,58,38.0,over
11/27/1988,1988,WAS,CLE,13,355.7058823529412,2.4705882352941178,17,327.76470588235287,1.9411764705882355,30,41.0,under
11/28/1988,1988,SEA,RAI,35,301.0588235294117,2.176470588235294,27,315.9411764705883,1.9411764705882355,62,38.0,over
12/4/1988,1988,ATL,SFO,3,291.1764705882353,2.647058823529412,13,379.8235294117647,1.5294117647058822,16,41.0,under
12/4/1988,1988,CIN,SDG,27,383.8823529411765,1.9411764705882355,10,272.1764705882353,2.5294117647058822,37,44.0,under
12/4/1988,1988,CLE,DAL,24,320.76470588235287,1.8823529411764703,21,345.7647058823529,2.176470588235294,45,37.0,over
12/4/1988,1988,DET,GNB,30,225.29411764705884,2.0588235294117645,14,284.1764705882353,2.8235294117647056,44,36.0,over
