,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
9482,PHI,972008PHI,September 7,RAM,28.0,522.0,414.0,108.0,0.0,8.0,166.0,130.0,36.0,0.0
9500,RAM,9142008RAM,September 14,NYG,13.0,201.0,133.0,68.0,1.0,25.0,441.0,241.0,200.0,0.0
9516,SEA,9212008SEA,September 21,RAM,24.0,407.0,162.0,245.0,1.0,14.0,240.0,175.0,65.0,2.0
9529,RAM,9282008RAM,September 28,BUF,16.0,380.0,213.0,167.0,2.0,14.0,277.0,166.0,111.0,1.0
9559,WAS,10122008WAS,October 12,RAM,22.0,368.0,187.0,181.0,3.0,8.0,200.0,124.0,76.0,1.0
9571,RAM,10192008RAM,October 19,DAL,18.0,325.0,135.0,190.0,0.0,17.0,341.0,217.0,124.0,4.0
9582,NWE,10262008NWE,October 26,RAM,23.0,348.0,250.0,98.0,2.0,15.0,358.0,268.0,90.0,1.0
9600,RAM,1122008RAM,November 2,CRD,13.0,231.0,170.0,61.0,3.0,24.0,510.0,334.0,176.0,0.0
9611,NYJ,1192008NYJ,November 9,RAM,24.0,373.0,167.0,206.0,0.0,11.0,200.0,120.0,80.0,5.0
9628,SFO,11162008SFO,November 16,RAM,19.0,334.0,199.0,135.0,2.0,22.0,406.0,280.0,126.0,3.0
9646,RAM,11232008RAM,November 23,CHI,13.0,207.0,193.0,14.0,4.0,18.0,334.0,126.0,208.0,2.0
