schedule_date,schedule_season,home_id,away_id,score_home,score_away,total_score,over_under_line,label
11/2/1980,1980,RAM,NOR,45,31,76,45,over
11/2/1980,1980,NWE,NYJ,34,21,55,43,over
11/2/1980,1980,RAI,MIA,16,10,26,42,under
11/2/1980,1980,PIT,GNB,22,20,42,41,over
11/2/1980,1980,SEA,PHI,20,27,47,38,over
11/2/1980,1980,CRD,DAL,24,27,51,42,over
11/2/1980,1980,TAM,NYG,30,13,43,39,over
11/2/1980,1980,WAS,MIN,14,39,53,33,over
11/3/1980,1980,CLE,CHI,27,21,48,40,over
11/9/1980,1980,CLT,CLE,27,28,55,42,over
11/9/1980,1980,CHI,WAS,35,21,56,34,over
11/9/1980,1980,GNB,SFO,23,16,39,42,under
11/9/1980,1980,RAM,MIA,14,35,49,41,over
11/9/1980,1980,MIN,DET,34,0,34,39,under
11/9/1980,1980,NOR,PHI,21,34,55,43,over
11/9/1980,1980,NYG,DAL,38,35,73,44,over
11/9/1980,1980,NYJ,BUF,24,31,55,38,over
11/9/1980,1980,RAI,CIN,28,17,45,42,over
11/9/1980,1980,SDG,DEN,13,20,33,45,under
11/9/1980,1980,SEA,KAN,30,31,61,40,over
11/9/1980,1980,CRD,ATL,27,33,60,43,over
11/9/1980,1980,TAM,PIT,21,24,45,43,over
11/10/1980,1980,OTI,NWE,38,34,72,43,over
11/16/1980,1980,ATL,NOR,31,13,44,46,under
11/16/1980,1980,CHI,OTI,6,10,16,35,under
11/16/1980,1980,CIN,BUF,0,14,14,36,under
11/16/1980,1980,DAL,CRD,31,21,52,44,over
11/16/1980,1980,DEN,NYJ,31,24,55,40,over
11/16/1980,1980,DET,CLT,9,10,19,41,under
11/16/1980,1980,MIA,SFO,17,13,30,43,under
11/16/1980,1980,MIN,TAM,38,30,68,37,over
11/16/1980,1980,NWE,RAM,14,17,31,48,under
11/16/1980,1980,NYG,GNB,27,21,48,41,over
11/16/1980,1980,PIT,CLE,16,13,29,44,under
11/16/1980,1980,SDG,KAN,20,7,27,46,under
11/16/1980,1980,WAS,PHI,0,24,24,38,under
11/17/1980,1980,SEA,RAI,17,19,36,45,under
11/20/1980,1980,MIA,SDG,24,27,51,40,over
11/23/1980,1980,ATL,CHI,28,17,45,38,over
11/23/1980,1980,BUF,PIT,28,13,41,42,under
11/23/1980,1980,CLE,CIN,31,7,38,37,over
11/23/1980,1980,DAL,WAS,14,10,24,42,under
11/23/1980,1980,DEN,SEA,36,20,56,40,over
11/23/1980,1980,MIN,GNB,13,25,38,38,under
11/23/1980,1980,NWE,CLT,47,21,68,45,over
11/23/1980,1980,NYJ,OTI,31,28,59,40,over
11/23/1980,1980,PHI,RAI,10,7,17,43,under
11/23/1980,1980,SFO,NYG,12,0,12,47,under
11/23/1980,1980,CRD,KAN,13,21,34,42,under
11/23/1980,1980,TAM,DET,10,24,34,39,under
11/24/1980,1980,NOR,RAM,7,27,34,47,under
11/27/1980,1980,DAL,SEA,51,7,58,48,over
11/27/1980,1980,DET,CHI,17,23,40,36,over
11/30/1980,1980,ATL,WAS,10,6,16,40,under
11/30/1980,1980,CLT,BUF,28,24,52,40,over
11/30/1980,1980,GNB,TAM,17,20,37,38,under
11/30/1980,1980,OTI,CLE,14,17,31,39,under
11/30/1980,1980,KAN,CIN,6,20,26,36,under
11/30/1980,1980,RAM,NYJ,38,13,51,45,over
11/30/1980,1980,NOR,MIN,20,23,43,42,over
11/30/1980,1980,NYG,CRD,7,23,30,43,under
11/30/1980,1980,PIT,MIA,23,10,33,41,under
11/30/1980,1980,SDG,PHI,22,21,43,42,over
11/30/1980,1980,SFO,NWE,21,17,38,48,under
12/1/1980,1980,RAI,DEN,9,3,12,42,under
12/4/1980,1980,OTI,PIT,6,0,6,40,under
12/7/1980,1980,BUF,RAM,10,7,17,40,under
12/7/1980,1980,CHI,GNB,61,7,68,35,over
12/7/1980,1980,CIN,CLT,34,33,67,38,over
12/7/1980,1980,CLE,NYJ,17,14,31,43,under
12/7/1980,1980,KAN,DEN,31,14,45,39,over
12/7/1980,1980,RAI,DAL,13,19,32,45,under
12/7/1980,1980,PHI,ATL,17,20,37,40,under
12/7/1980,1980,SFO,NOR,38,35,73,46,over
12/7/1980,1980,SEA,NYG,21,27,48,43,over
12/7/1980,1980,CRD,DET,24,23,47,40,over
12/7/1980,1980,TAM,MIN,10,21,31,39,under
12/7/1980,1980,WAS,SDG,40,17,57,40,over
12/8/1980,1980,MIA,NWE,16,13,29,43,under
12/13/1980,1980,SDG,SEA,21,14,35,46,under
12/13/1980,1980,WAS,NYG,16,13,29,39,under
12/14/1980,1980,ATL,SFO,35,10,45,45,under
12/14/1980,1980,CLT,MIA,14,24,38,40,under
12/14/1980,1980,CHI,CIN,14,17,31,35,under
12/14/1980,1980,DEN,RAI,21,24,45,38,over
12/14/1980,1980,DET,TAM,27,14,41,39,over
12/14/1980,1980,GNB,OTI,3,22,25,37,under
12/14/1980,1980,MIN,CLE,28,23,51,39,over
12/14/1980,1980,NWE,BUF,24,2,26,42,under
12/14/1980,1980,NYJ,NOR,20,21,41,46,under
12/14/1980,1980,PHI,CRD,17,3,20,39,under
12/14/1980,1980,PIT,KAN,21,16,37,41,under
12/15/1980,1980,RAM,DAL,38,14,52,46,over
