schedule_date,schedule_season,home_id,away_id,weather_temperature,weather_wind_mph,score_home,score_away,total_score,over_under_line,label
9/14/1980,1980,NYG,WAS,74.0,12.0,21,23,44,38,over
9/14/1980,1980,SDG,RAI,68.0,8.0,30,24,54,44,over
9/14/1980,1980,SFO,CRD,58.0,16.0,24,21,45,42,over
9/15/1980,1980,CLE,OTI,62.0,12.0,7,16,23,44,under
9/21/1980,1980,ATL,MIA,77.0,8.0,17,20,37,40,under
9/21/1980,1980,CHI,MIN,77.0,14.0,14,34,48,39,over
9/21/1980,1980,CIN,PIT,76.0,12.0,30,28,58,39,over
9/21/1980,1980,CLE,KAN,76.0,17.0,20,13,33,38,under
9/21/1980,1980,DAL,TAM,86.0,19.0,28,17,45,36,over
9/21/1980,1980,DEN,SDG,66.0,9.0,13,30,43,47,under
9/21/1980,1980,DET,CRD,72.0,0.0,20,7,27,42,under
9/21/1980,1980,OTI,CLT,72.0,0.0,21,16,37,35,over
9/21/1980,1980,RAM,GNB,67.0,9.0,51,21,72,38,over
9/21/1980,1980,NOR,BUF,72.0,0.0,26,35,61,40,over
9/21/1980,1980,NYJ,SFO,74.0,14.0,27,37,64,39,over
9/21/1980,1980,RAI,WAS,62.0,8.0,24,21,45,40,over
9/21/1980,1980,SEA,NWE,72.0,0.0,31,37,68,47,over
9/22/1980,1980,PHI,NYG,79.0,8.0,35,3,38,40,under
9/28/1980,1980,CLT,NYJ,59.0,8.0,35,21,56,38,over
9/28/1980,1980,BUF,RAI,54.0,9.0,24,7,31,42,under
9/28/1980,1980,CIN,OTI,58.0,6.0,10,13,23,36,under
9/28/1980,1980,DET,MIN,72.0,0.0,27,7,34,43,under
9/28/1980,1980,GNB,DAL,55.0,9.0,7,28,35,42,under
9/28/1980,1980,KAN,SDG,58.0,8.0,7,24,31,42,under
9/28/1980,1980,MIA,NOR,85.0,10.0,21,16,37,39,under
9/28/1980,1980,NYG,RAM,61.0,11.0,7,28,35,42,under
9/28/1980,1980,PIT,CHI,58.0,6.0,38,3,41,39,over
9/28/1980,1980,SFO,ATL,60.0,19.0,17,20,37,50,under
9/28/1980,1980,CRD,PHI,63.0,7.0,24,14,38,44,under
9/28/1980,1980,TAM,CLE,81.0,7.0,27,34,61,35,over
9/28/1980,1980,WAS,SEA,64.0,8.0,0,14,14,42,under
9/29/1980,1980,NWE,DEN,53.0,14.0,23,14,37,48,under
10/5/1980,1980,ATL,DET,60.0,12.0,43,28,71,42,over
10/5/1980,1980,CLE,DEN,41.0,10.0,16,19,35,42,under
10/5/1980,1980,DAL,NYG,69.0,10.0,24,3,27,42,under
10/5/1980,1980,GNB,CIN,39.0,7.0,14,9,23,38,under
10/5/1980,1980,OTI,SEA,72.0,0.0,7,26,33,37,under
10/5/1980,1980,RAM,SFO,65.0,7.0,48,26,74,48,over
10/5/1980,1980,MIA,CLT,79.0,8.0,17,30,47,36,over
10/5/1980,1980,MIN,PIT,45.0,11.0,17,23,40,46,under
10/5/1980,1980,NOR,CRD,72.0,0.0,7,40,47,45,over
10/5/1980,1980,NYJ,NWE,58.0,11.0,11,21,32,49,under
10/5/1980,1980,RAI,KAN,62.0,8.0,17,31,48,39,over
10/5/1980,1980,PHI,WAS,54.0,6.0,24,14,38,35,over
10/5/1980,1980,SDG,BUF,68.0,10.0,24,26,50,44,over
10/6/1980,1980,CHI,TAM,49.0,14.0,23,0,23,35,under
10/12/1980,1980,ATL,NYJ,59.0,12.0,7,14,21,46,under
10/12/1980,1980,BUF,CLT,49.0,12.0,12,17,29,40,under
10/12/1980,1980,DAL,SFO,64.0,7.0,59,14,73,48,over
10/12/1980,1980,DET,NOR,72.0,0.0,24,13,37,45,under
10/12/1980,1980,KAN,OTI,50.0,6.0,21,20,41,36,over
10/12/1980,1980,MIN,CHI,38.0,7.0,13,7,20,38,under
10/12/1980,1980,NWE,MIA,58.0,14.0,34,0,34,43,under
10/12/1980,1980,NYG,PHI,57.0,16.0,16,31,47,41,over
10/12/1980,1980,RAI,SDG,62.0,8.0,38,24,62,45,over
10/12/1980,1980,PIT,CIN,44.0,13.0,16,17,33,40,under
10/12/1980,1980,SEA,CLE,72.0,0.0,3,27,30,40,under
10/12/1980,1980,CRD,RAM,49.0,10.0,13,21,34,49,under
10/12/1980,1980,TAM,GNB,73.0,7.0,14,14,28,36,under
10/13/1980,1980,DEN,WAS,61.0,10.0,20,17,37,35,over
10/19/1980,1980,CLT,NWE,62.0,7.0,21,37,58,43,over
10/19/1980,1980,CHI,DET,47.0,13.0,24,7,31,40,under
10/19/1980,1980,CIN,MIN,49.0,10.0,14,0,14,36,under
10/19/1980,1980,CLE,GNB,46.0,12.0,26,21,47,37,over
10/19/1980,1980,DEN,KAN,49.0,8.0,17,23,40,40,under
10/19/1980,1980,OTI,TAM,72.0,0.0,20,14,34,34,under
10/19/1980,1980,MIA,BUF,80.0,8.0,17,14,31,35,under
10/19/1980,1980,NOR,ATL,72.0,0.0,14,41,55,44,over
10/19/1980,1980,NYJ,SEA,62.0,14.0,17,27,44,38,over
10/19/1980,1980,PHI,DAL,61.0,9.0,17,10,27,41,under
10/19/1980,1980,SDG,NYG,67.0,9.0,44,7,51,47,over
10/19/1980,1980,SFO,RAM,55.0,11.0,17,31,48,50,under
10/19/1980,1980,WAS,CRD,66.0,9.0,23,0,23,39,under
10/20/1980,1980,PIT,RAI,42.0,12.0,34,45,79,45,over
10/26/1980,1980,ATL,RAM,48.0,11.0,13,10,23,43,under
10/26/1980,1980,CLT,CRD,45.0,24.0,10,17,27,41,under
10/26/1980,1980,BUF,NWE,41.0,26.0,31,13,44,42,over
10/26/1980,1980,CLE,PIT,37.0,25.0,27,26,53,44,over
10/26/1980,1980,DAL,SDG,55.0,9.0,42,31,73,45,over
10/26/1980,1980,GNB,MIN,35.0,16.0,16,3,19,36,under
10/26/1980,1980,OTI,CIN,72.0,0.0,23,3,26,35,under
10/26/1980,1980,KAN,DET,37.0,10.0,20,17,37,40,under
10/26/1980,1980,NYG,DEN,47.0,30.0,9,14,23,40,under
10/26/1980,1980,RAI,SEA,57.0,7.0,33,14,47,44,over
10/26/1980,1980,PHI,CHI,45.0,21.0,17,14,31,34,under
10/26/1980,1980,SFO,TAM,56.0,11.0,23,24,47,45,over
10/26/1980,1980,WAS,NOR,49.0,21.0,22,14,36,38,under
10/27/1980,1980,NYJ,MIA,47.0,21.0,17,14,31,37,under
11/2/1980,1980,BUF,ATL,40.0,9.0,14,30,44,41,over
11/2/1980,1980,CIN,SDG,42.0,6.0,14,31,45,43,over
11/2/1980,1980,DEN,OTI,54.0,11.0,16,20,36,37,under
11/2/1980,1980,DET,SFO,72.0,0.0,17,13,30,42,under
11/2/1980,1980,KAN,CLT,51.0,10.0,24,31,55,39,over
11/2/1980,1980,RAM,NOR,65.0,7.0,45,31,76,45,over
11/2/1980,1980,NWE,NYJ,40.0,15.0,34,21,55,43,over
11/2/1980,1980,RAI,MIA,58.0,6.0,16,10,26,42,under
11/2/1980,1980,PIT,GNB,40.0,6.0,22,20,42,41,over
11/2/1980,1980,SEA,PHI,72.0,0.0,20,27,47,38,over
11/2/1980,1980,CRD,DAL,49.0,12.0,24,27,51,42,over
11/2/1980,1980,TAM,NYG,67.0,8.0,30,13,43,39,over
11/2/1980,1980,WAS,MIN,50.0,15.0,14,39,53,33,over
11/3/1980,1980,CLE,CHI,48.0,15.0,27,21,48,40,over
